Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
60,37.47996794871795,BF,CM,Byz-NSGDM,0,0.01
90,42.80849358974359,BF,CM,Byz-NSGDM,0,0.01
120,47.766426282051285,BF,CM,Byz-NSGDM,0,0.01
150,51.90304487179487,BF,CM,Byz-NSGDM,0,0.01
180,55.34855769230769,BF,CM,Byz-NSGDM,0,0.01
210,57.892628205128204,BF,CM,Byz-NSGDM,0,0.01
240,60.00600961538461,BF,CM,Byz-NSGDM,0,0.01
270,61.59855769230769,BF,CM,Byz-NSGDM,0,0.01
300,62.780448717948715,BF,CM,Byz-NSGDM,0,0.01
330,63.64182692307692,BF,CM,Byz-NSGDM,0,0.01
360,64.453125,BF,CM,Byz-NSGDM,0,0.01
390,65.12419871794872,BF,CM,Byz-NSGDM,0,0.01
420,65.56490384615384,BF,CM,Byz-NSGDM,0,0.01
450,66.0556891025641,BF,CM,Byz-NSGDM,0,0.01
480,66.42628205128206,BF,CM,Byz-NSGDM,0,0.01
510,67.01722756410257,BF,CM,Byz-NSGDM,0,0.01
540,67.29767628205128,BF,CM,Byz-NSGDM,0,0.01
570,67.42788461538461,BF,CM,Byz-NSGDM,0,0.01
600,67.2676282051282,BF,CM,Byz-NSGDM,0,0.01
630,67.11738782051282,BF,CM,Byz-NSGDM,0,0.01
660,66.47636217948718,BF,CM,Byz-NSGDM,0,0.01
690,65.625,BF,CM,Byz-NSGDM,0,0.01
720,64.97395833333333,BF,CM,Byz-NSGDM,0,0.01
750,64.52323717948718,BF,CM,Byz-NSGDM,0,0.01
780,64.16266025641026,BF,CM,Byz-NSGDM,0,0.01
810,63.772035256410255,BF,CM,Byz-NSGDM,0,0.01
840,63.561698717948715,BF,CM,Byz-NSGDM,0,0.01
870,63.40144230769231,BF,CM,Byz-NSGDM,0,0.01
900,63.34134615384615,BF,CM,Byz-NSGDM,0,0.01
930,63.30128205128205,BF,CM,Byz-NSGDM,0,0.01
960,63.13100961538461,BF,CM,Byz-NSGDM,0,0.01
990,63.05088141025641,BF,CM,Byz-NSGDM,0,0.01
1020,63.19110576923077,BF,CM,Byz-NSGDM,0,0.01
1050,63.21113782051282,BF,CM,Byz-NSGDM,0,0.01
1080,63.28125,BF,CM,Byz-NSGDM,0,0.01
1110,63.391426282051285,BF,CM,Byz-NSGDM,0,0.01
1140,63.541666666666664,BF,CM,Byz-NSGDM,0,0.01
1170,63.76201923076923,BF,CM,Byz-NSGDM,0,0.01
