Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
270,75.81129807692308,BF,RFA,0.5,0.5,256
300,72.79647435897436,BF,RFA,0.5,0.5,256
330,67.78846153846153,BF,RFA,0.5,0.5,256
360,75.49078525641026,BF,RFA,0.5,0.5,256
390,73.19711538461539,BF,RFA,0.5,0.5,256
420,72.52604166666667,BF,RFA,0.5,0.5,256
450,72.46594551282051,BF,RFA,0.5,0.5,256
480,72.48597756410257,BF,RFA,0.5,0.5,256
510,70.67307692307692,BF,RFA,0.5,0.5,256
540,76.4823717948718,BF,RFA,0.5,0.5,256
570,75.1201923076923,BF,RFA,0.5,0.5,256
600,64.87379807692308,BF,RFA,0.5,0.5,256
30,66.12580128205128,BF,RFA,0.5,0.1,0
60,73.1670673076923,BF,RFA,0.5,0.1,0
90,75.07011217948718,BF,RFA,0.5,0.1,0
120,75.78125,BF,RFA,0.5,0.1,0
150,76.75280448717949,BF,RFA,0.5,0.1,0
180,77.40384615384616,BF,RFA,0.5,0.1,0
210,77.93469551282051,BF,RFA,0.5,0.1,0
240,78.96634615384616,BF,RFA,0.5,0.1,0
270,78.8661858974359,BF,RFA,0.5,0.1,0
300,78.80608974358974,BF,RFA,0.5,0.1,0
330,79.54727564102564,BF,RFA,0.5,0.1,0
360,79.26682692307692,BF,RFA,0.5,0.1,0
390,78.9463141025641,BF,RFA,0.5,0.1,0
420,78.76602564102564,BF,RFA,0.5,0.1,0
450,78.60576923076923,BF,RFA,0.5,0.1,0
480,78.88621794871794,BF,RFA,0.5,0.1,0
510,78.56570512820512,BF,RFA,0.5,0.1,0
540,78.7860576923077,BF,RFA,0.5,0.1,0
570,79.07652243589743,BF,RFA,0.5,0.1,0
600,78.90625,BF,RFA,0.5,0.1,0
30,31.300080128205128,BF,RFA,0.9,0.01,0
60,36.979166666666664,BF,RFA,0.9,0.01,0
90,42.69831730769231,BF,RFA,0.9,0.01,0
120,49.23878205128205,BF,RFA,0.9,0.01,0
150,54.14663461538461,BF,RFA,0.9,0.01,0
180,57.80248397435897,BF,RFA,0.9,0.01,0
210,60.266426282051285,BF,RFA,0.9,0.01,0
240,61.72876602564103,BF,RFA,0.9,0.01,0
270,62.98076923076923,BF,RFA,0.9,0.01,0
300,63.88221153846154,BF,RFA,0.9,0.01,0
330,64.83373397435898,BF,RFA,0.9,0.01,0
360,65.59495192307692,BF,RFA,0.9,0.01,0
390,65.43469551282051,BF,RFA,0.9,0.01,0
420,65.20432692307692,BF,RFA,0.9,0.01,0
450,65.01402243589743,BF,RFA,0.9,0.01,0
480,64.1826923076923,BF,RFA,0.9,0.01,0
510,63.571714743589745,BF,RFA,0.9,0.01,0
540,62.83052884615385,BF,RFA,0.9,0.01,0
570,62.12940705128205,BF,RFA,0.9,0.01,0
600,61.6786858974359,BF,RFA,0.9,0.01,0
30,58.333333333333336,BF,RFA,0.99,0.05,42
60,59.00440705128205,BF,RFA,0.99,0.05,42
90,64.1826923076923,BF,RFA,0.99,0.05,42
120,67.72836538461539,BF,RFA,0.99,0.05,42
150,72.93669871794872,BF,RFA,0.99,0.05,42
180,77.14342948717949,BF,RFA,0.99,0.05,42
210,72.89663461538461,BF,RFA,0.99,0.05,42
240,70.71314102564102,BF,RFA,0.99,0.05,42
270,72.55608974358974,BF,RFA,0.99,0.05,42
300,72.25560897435898,BF,RFA,0.99,0.05,42
330,75.56089743589743,BF,RFA,0.99,0.05,42
360,78.1650641025641,BF,RFA,0.99,0.05,42
390,79.00641025641026,BF,RFA,0.99,0.05,42
420,78.96634615384616,BF,RFA,0.99,0.05,42
450,78.73597756410257,BF,RFA,0.99,0.05,42
480,79.30689102564102,BF,RFA,0.99,0.05,42
510,80.078125,BF,RFA,0.99,0.05,42
540,81.03966346153847,BF,RFA,0.99,0.05,42
570,81.50040064102564,BF,RFA,0.99,0.05,42
600,81.57051282051282,BF,RFA,0.99,0.05,42
30,17.377804487179485,BF,RFA,0.0,0.005,0
60,24.529246794871796,BF,RFA,0.0,0.005,0
90,28.67588141025641,BF,RFA,0.0,0.005,0
120,31.590544871794872,BF,RFA,0.0,0.005,0
150,33.35336538461539,BF,RFA,0.0,0.005,0
180,35.70713141025641,BF,RFA,0.0,0.005,0
210,38.40144230769231,BF,RFA,0.0,0.005,0
240,41.04567307692308,BF,RFA,0.0,0.005,0
270,43.098958333333336,BF,RFA,0.0,0.005,0
300,45.28245192307692,BF,RFA,0.0,0.005,0
330,47.29567307692308,BF,RFA,0.0,0.005,0
360,48.97836538461539,BF,RFA,0.0,0.005,0
390,50.41065705128205,BF,RFA,0.0,0.005,0
420,51.9130608974359,BF,RFA,0.0,0.005,0
450,53.31530448717949,BF,RFA,0.0,0.005,0
480,54.6474358974359,BF,RFA,0.0,0.005,0
510,55.45873397435897,BF,RFA,0.0,0.005,0
540,56.07972756410256,BF,RFA,0.0,0.005,0
570,56.71073717948718,BF,RFA,0.0,0.005,0
600,57.421875,BF,RFA,0.0,0.005,0
